Year;State;NMFS Name;Pounds;Metric Tons;Dollars;Collection;Scientific Name;Tsn;Source
1958;CONNECTICUT;COD, ATLANTIC;209,000;95;15,686;Commercial;Gadus morhua;164712;ACCSPHIST
1958;DELAWARE;COD, ATLANTIC;100;0;7;Commercial;Gadus morhua;164712;ACCSPHIST
1958;MAINE;COD, ATLANTIC;2,735,400;1,241;150,074;Commercial;Gadus morhua;164712;ACCSPHIST
1958;MARYLAND;COD, ATLANTIC;52,000;24;1,816;Commercial;Gadus morhua;164712;ACCSPHIST
1958;MASSACHUSETTS;COD, ATLANTIC;33,593,200;15,238;2,470,399;Commercial;Gadus morhua;164712;ACCSPHIST
1958;NEW JERSEY;COD, ATLANTIC;1,260,700;572;98,246;Commercial;Gadus morhua;164712;ACCSPHIST
1958;NEW YORK;COD, ATLANTIC;2,200,400;998;217,172;Commercial;Gadus morhua;164712;ACCSPHIST
1958;OREGON;COD, PACIFIC;473,900;215;18,956;Commercial;Gadus macrocephalus;164711;PACFINHIST
1958;RHODE ISLAND;COD, ATLANTIC;1,246,800;566;82,156;Commercial;Gadus morhua;164712;ACCSPHIST
1958;VIRGINIA;COD, ATLANTIC;65,100;30;5,654;Commercial;Gadus morhua;164712;ACCSPHIST
1958;WASHINGTON;COD, PACIFIC;12,298,600;5,579;540,540;Commercial;Gadus macrocephalus;164711;PACFINHIST
1957;ALASKA;COD, PACIFIC;2,583;1;77;Commercial;Gadus macrocephalus;164711;AKFINHIST
1957;CONNECTICUT;COD, ATLANTIC;330,100;150;21,451;Commercial;Gadus morhua;164712;ACCSPHIST
1957;MAINE;COD, ATLANTIC;2,352,400;1,067;122,732;Commercial;Gadus morhua;164712;ACCSPHIST
1957;MARYLAND;COD, ATLANTIC;2,900;1;260;Commercial;Gadus morhua;164712;ACCSPHIST
1957;MASSACHUSETTS;COD, ATLANTIC;28,389,900;12,878;1,738,971;Commercial;Gadus morhua;164712;ACCSPHIST
1957;NEW JERSEY;COD, ATLANTIC;432,300;196;46,945;Commercial;Gadus morhua;164712;ACCSPHIST
1957;NEW YORK;COD, ATLANTIC;1,722,000;781;189,844;Commercial;Gadus morhua;164712;ACCSPHIST
1957;OREGON;COD, PACIFIC;551,100;250;22,044;Commercial;Gadus macrocephalus;164711;PACFINHIST
1957;RHODE ISLAND;COD, ATLANTIC;839,200;381;57,444;Commercial;Gadus morhua;164712;ACCSPHIST
1957;WASHINGTON;COD, PACIFIC;11,373,700;5,159;559,477;Commercial;Gadus macrocephalus;164711;PACFINHIST
1956;ALASKA;COD, PACIFIC;6,170;3;108;Commercial;Gadus macrocephalus;164711;AKFINHIST
1956;CONNECTICUT;COD, ATLANTIC;154,400;70;9,264;Commercial;Gadus morhua;164712;ACCSPHIST
1956;MAINE;COD, ATLANTIC;2,746,200;1,246;133,730;Commercial;Gadus morhua;164712;ACCSPHIST
1956;MARYLAND;COD, ATLANTIC;1,100;0;59;Commercial;Gadus morhua;164712;ACCSPHIST
1956;MASSACHUSETTS;COD, ATLANTIC;29,127,200;13,212;1,773,859;Commercial;Gadus morhua;164712;ACCSPHIST
1956;NEW JERSEY;COD, ATLANTIC;1,039,700;472;97,235;Commercial;Gadus morhua;164712;ACCSPHIST
1956;NEW YORK;COD, ATLANTIC;1,325,600;601;159,072;Commercial;Gadus morhua;164712;ACCSPHIST
1956;OREGON;COD, PACIFIC;182,700;83;7,307;Commercial;Gadus macrocephalus;164711;PACFINHIST
1956;RHODE ISLAND;COD, ATLANTIC;732,600;332;51,905;Commercial;Gadus morhua;164712;ACCSPHIST
1956;VIRGINIA;COD, ATLANTIC;500;0;24;Commercial;Gadus morhua;164712;ACCSPHIST
1956;WASHINGTON;COD, PACIFIC;9,635,500;4,371;378,824;Commercial;Gadus macrocephalus;164711;PACFINHIST
1955;ALASKA;COD, PACIFIC;119,001;54;2,082;Commercial;Gadus macrocephalus;164711;AKFINHIST
1955;CONNECTICUT;COD, ATLANTIC;185,700;84;9,278;Commercial;Gadus morhua;164712;ACCSPHIST
1955;MAINE;COD, ATLANTIC;2,863,200;1,299;146,214;Commercial;Gadus morhua;164712;ACCSPHIST
1955;MARYLAND;COD, ATLANTIC;22,700;10;1,274;Commercial;Gadus morhua;164712;ACCSPHIST
1955;MASSACHUSETTS;COD, ATLANTIC;28,525,700;12,939;1,669,159;Commercial;Gadus morhua;164712;ACCSPHIST
1955;NEW JERSEY;COD, ATLANTIC;933,100;423;76,068;Commercial;Gadus morhua;164712;ACCSPHIST
1955;NEW YORK;COD, ATLANTIC;2,257,400;1,024;205,201;Commercial;Gadus morhua;164712;ACCSPHIST
1955;OREGON;COD, PACIFIC;359,800;163;14,389;Commercial;Gadus macrocephalus;164711;PACFINHIST
1955;RHODE ISLAND;COD, ATLANTIC;794,100;360;49,596;Commercial;Gadus morhua;164712;ACCSPHIST
1955;WASHINGTON;COD, PACIFIC;12,610,500;5,72;480,546;Commercial;Gadus macrocephalus;164711;PACFINHIST
1954;CONNECTICUT;COD, ATLANTIC;238,700;108;11,721;Commercial;Gadus morhua;164712;ACCSPHIST
1954;DELAWARE;COD, ATLANTIC;400;0;20;Commercial;Gadus morhua;164712;ACCSPHIST
1954;MAINE;COD, ATLANTIC;3,688,900;1,673;195,077;Commercial;Gadus morhua;164712;ACCSPHIST
1954;MARYLAND;COD, ATLANTIC;5,800;3;174;Commercial;Gadus morhua;164712;ACCSPHIST
1954;MASSACHUSETTS;COD, ATLANTIC;29,991,000;13,604;1,767,613;Commercial;Gadus morhua;164712;ACCSPHIST
1954;NEW JERSEY;COD, ATLANTIC;284,700;129;16,668;Commercial;Gadus morhua;164712;ACCSPHIST
1954;NEW YORK;COD, ATLANTIC;1,291,800;586;116,274;Commercial;Gadus morhua;164712;ACCSPHIST
1954;OREGON;COD, PACIFIC;782,000;355;31,282;Commercial;Gadus macrocephalus;164711;PACFINHIST
1954;RHODE ISLAND;COD, ATLANTIC;1,320,300;599;74,848;Commercial;Gadus morhua;164712;ACCSPHIST
1954;VIRGINIA;COD, ATLANTIC;1,600;1;64;Commercial;Gadus morhua;164712;ACCSPHIST
